Company Name,SIC Code,Exchange,Ticker,Active/Inactive,Country,Sector
Alliant Energy Corp,4931,NMS,LNT,Active,United States,Public
AllianzGI Global Equity & Convertible Income Fund,6726,NYS,NGZ,Inactive,United States,Public
AllianzGI International & Premium Strategy Fund,6726,,,Active,United States,Public
Allico Corp.,1522,,,Active,United States,Public
Allied American Steel Corp,1011,NL,,Active,United States,Public
"Allied Bank Capital, Inc.",6712,NMS,ABCI,Inactive,United States,Public
"Allied Bankshares, Inc. (GA)",6022,NMS,ABGA,Inactive,United States,Public
"Allied Capital Advisers, Inc.",6282,NMS,ALLA,Inactive,United States,Public
Allied Capital Commercial Corp.,6798,NMS,ALCC,Inactive,United States,Public
Allied Capital Corp.,6799,,,Inactive,United States,Public
Allied Capital Corp.,6211,NMS,ALLC,Inactive,United States,Public
Allied Capital Corp. II,6726,NMS,ALII,Inactive,United States,Public
Allied Corp (New),2833,NBB,ALID,Active,United States,Public
Allied Defense Group Inc,9999,,,Inactive,United States,Public
Allied Digital Technologies Corp.,3652,ASE,ADK WSB,Inactive,United States,Public
Allied Gaming & Entertainment Inc,7999,NAS,AGAE,Active,United States,Public
"Allied Group, Inc.",6331,NYS,GRP,Inactive,United States,Public
Allied Healthcare International Inc.,8082,NMS,AHCI,Inactive,United States,Public
Allied Healthcare Products Inc,3842,NBB,AHPI Q,Active,United States,Public
"Allied Holdings, Inc.",4213,NBB,AHIZ Q,Inactive,United States,Public
Allied Insurance Co,6331,,,Active,United States,Public
ALLIED Life Financial Corp.,6311,NMS,ALFC,Inactive,United States,Public
Allied Products Corp.,3523,OTC,ADPC,Inactive,United States,Public
Allied Resources Inc,1382,NBB,ALOD,Active,United States,Public
Allied Riser Communications Corp,4813,NMS,ARCC,Inactive,United States,Public
Allied Security Innovations Inc,7372,NBB,ADSV,Active,United States,Public
"Allied Waste Industries, Inc.",4953,NYS,AW,Inactive,United States,Public
Allient Inc,3823,NMS,ALNT,Active,United States,Public
Allin Corp,7373,NL,,Active,United States,Public
Allion Healthcare Inc,5122,NMS,ALLI,Inactive,United States,Public
Allis-Chalmers Energy Inc,1389,NYS,ALY,Inactive,United States,Public
Allison Transmission Holdings Inc,3714,NYS,ALSN,Active,United States,Public
Allmerica Financial Life Insurance and Annuity Co. (Delaware),6311,,,Active,United States,Public
"Allmerica Property & Casualty Cos., Inc.",6311,NYS,APY,Inactive,United States,Public
Allmerica Securities Trust,6726,NYS,ALM,Inactive,United States,Public
Allogene Therapeutics Inc,2836,NMS,ALLO,Active,United States,Public
Allos Therapeutics Inc,2834,NMS,ALTH,Inactive,United States,Public
Allou Healthcare Inc,5122,NBB,ALUH Q,Inactive,United States,Public
AlloVir Inc,2836,NMS,ALVR,Active,United States,Public
Alloy Inc  ,7311,NMS,ALOY,Inactive,United States,Public
Allspring Global Dividend Opportunity Fund,6726,NYS,EOD,Active,United States,Public
Allspring Income Opportunities Fund,6726,ASE,EAD,Active,United States,Public
Allspring Multi-Sector Income Fund,6726,ASE,ERC,Active,United States,Public
Allspring Utilities & High Income Fund,6726,ASE,ERH,Active,United States,Public
Allstar Health Brands Inc,2834,NBB,ALST,Active,United States,Public
"Allstar Inns, Inc.",7011,OTC,ALST,Inactive,United States,Public
Allstate Assurance Co,6311,,,Active,United States,Public
Allstate Corp,6331,NYS,ALL,Active,United States,Public
"Allstate Insurance Co. (Northbrook, Ill.)",6331,,,Active,United States,Public
Allstate Life Insurance Co New York  ,6311,NL,,Active,United States,Public
Allstate Life Insurance Co. (Illinois),6311,,,Active,United States,Public
"Allstates WorldCargo, Inc.",4731,NBB,ASTJ,Active,United States,Public
ALLTEL Corp.  ,4812,NYS,AT,Inactive,United States,Public
"ALLTEL Illinois, Inc.",4813,,,Active,United States,Public
"ALLTEL New York, Inc.",4813,,,Active,United States,Public
"ALLTEL Pennsylvania, Inc.",4813,,,Active,United States,Public
"Allwaste, Inc.",4953,NYS,ALW,Inactive,United States,Public
Ally Financial Inc,6141,NYS,ALLY,Active,United States,Public
Almost Family Inc,8399,NMS,AFAM,Inactive,United States,Public
Almost Never Films Inc,7812,NBB,HLWD,Active,United States,Public
Alnylam Pharmaceuticals Inc,2834,NMS,ALNY,Active,United States,Public
"Aloette Cosmetics, Inc.",2844,NMS,ALET,Inactive,United States,Public
Alon USA Energy Inc,2911,NYS,ALJ,Inactive,United States,Public
Alon USA Partners LP,2911,NYS,ALDW,Inactive,United States,Public
Along Mobile Technologies Inc,7812,NBB,AGMB,Inactive,United States,Public
Alpena Bancshares Inc,6021,OTC,ALPN,Inactive,United States,Public
Alpha Architect ETF Trust - Alpha Architect International Quantitative Value ETF,6722,BZX,IVAL,Active,United States,Public
Alpha Architect ETF Trust - Alpha Architect US Quantitative Value ETF,6722,BZX,QVAL,Active,United States,Public
Alpha Innotech Corp (DE),3826,OTC,APNO,Inactive,United States,Public
Alpha Investment Inc,6159,NBB,ALPC,Active,United States,Public
Alpha Metallurgical Resources Inc,2999,NYS,AMR,Active,United States,Public
Alpha Natural Resources Inc,1221,NBB,ANRZ Q,Inactive,United States,Public
Alpha Network Alliance Ventures Inc,5499,NBB,ANAV,Active,United States,Public
Alpha Pro Tech Ltd.,1761,ASE,APT,Active,United States,Public
Alpha Security Group Corp,9999,ASE,HDS,Inactive,United States,Public
Alpha Tau Medical Ltd,9999,NMS,DRTS,Active,United States,Public
Alpha Technologies Group Inc  ,3443,NBB,AHAG,Active,United States,Public
Alpha Teknova Inc,2835,NMS,TKNO,Active,United States,Public
Alpha Wastewater Inc.,9511,NBB,AWWI,Active,United States,Public
"Alpha-Beta Technology, Inc.",2834,OTC,ABTI E,Inactive,United States,Public
alpha-En Corp,9999,NBB,ALPE,Active,United States,Public
Alphabet Inc,7372,NMS,GOOG L,Active,United States,Public
Alphacom Holdings Inc,9999,NL,,Active,United States,Public
"AlphaNet Solutions, Inc.",5045,NMS,ALPH,Inactive,United States,Public
"Alpharma, Inc.",2834,NYS,ALO,Inactive,United States,Public
AlphaSmart Inc,7371,NMS,ALSM,Inactive,United States,Public
Alphatec Holdings Inc,3841,NMS,ATEC,Active,United States,Public
AlphaTrade.com,7389,NBB,APDT Q,Inactive,United States,Public
Alpine 4 Holdings Inc,3714,NAS,ALPP,Active,United States,Public
Alpine Acquisition Corp,9999,NAS,REVE,Inactive,United States,Public
Alpine Air Express Inc,4522,NBB,APNX,Inactive,United States,Public
Alpine Banks of Colorado,6021,NBB,ALPI B,Active,United States,Public
Alpine Group Inc (The),3357,NBB,APNI,Inactive,United States,Public
Alpine Immune Sciences Inc,2834,NMS,ALPN,Active,United States,Public
Alpine Income Property Trust Inc,6733,NYS,PINE,Active,United States,Public
"Alpine Lace Brands, Inc.",5143,NMS,LACE,Inactive,United States,Public
"Alpnet, Inc.",7389,OTC,AILP,Inactive,United States,Public
ALPS ETF Trust - Alerian MLP ETF (New),6722,ARC,AMLP,Active,United States,Public
Alps ETF Trust - Equals Sector Weight ETF,6722,ARC,EQL,Active,United States,Public
ALPS ETF Trust - Global Commodity Equity Index ETF,6722,ARC,CRBQ,Inactive,United States,Public
ALPS ETF Trust - Jefferies TR/J CRB Global Agriculture Equity Fund,6722,ARC,CRBA,Inactive,United States,Public
ALPS ETF Trust - Jefferies TR/J CRB Global Industrial Metals Equity Fund,6722,ARC,CRBI,Inactive,United States,Public
ALPS ETF Trust - Jefferies TR/J CRB Wildcatters Exploration & Production Equity ETF,6722,ARC,WCAT,Inactive,United States,Public
ALPS ETF Trust - Sector Dividend Dogs ETF,6722,ARC,SDOG,Active,United States,Public
Alseres Pharmaceuticals Inc,2834,NBB,ALSE,Active,United States,Public
Alset Capital Acquisition Corp,9999,NMS,ACAX,Active,United States,Public
Alset Inc,6531,NAS,AEI,Active,United States,Public
Alsius Corp (DE),3841,NBB,ALUS,Inactive,United States,Public
Alta Energy Corp.,1311,ASE,ALE,Inactive,United States,Public
Alta Equipment Group Inc,5084,NYS,ALTG,Active,United States,Public
Alta Gold Co.,1041,OTC,ATGD Q,Inactive,United States,Public
Alta Mesa Resources Inc,1311,NBB,AMRQ Q,Inactive,United States,Public
Altaba Inc,6726,NMS,AABA,Inactive,United States,Public
Altabancorp,6022,NAS,ALTA,Inactive,United States,Public
"Altai, Inc.",7371,NMS,ALTI,Inactive,United States,Public
Altair Engineering Inc,7372,NMS,ALTR,Active,United States,Public
Altair International Corp,9999,NBB,ATAO,Active,United States,Public
Altair Nanotechnologies Inc,3692,NL,,Active,United States,Public
Altam Inc,4911,NBB,ALTN D,Active,United States,Public
Altavoz Entertainment Inc,7379,NBB,AVOZ,Active,United States,Public
AltC Acquisition Corp,9999,NYS,ALCC,Active,United States,Public
AltEnergy Acquisition Corp,9999,NMS,AEAE,Active,United States,Public
Alteon WebSystems Inc,3679,NMS,ATON,Inactive,United States,Public
Altera Corp.,3674,NMS,ALTR,Inactive,United States,Public
"Alternafuels, Inc.",8082,,,Active,United States,Public
Alternate Energy Holdings Inc,1542,NL,,Active,United States,Public
Alternative Asset Management Acquisition Corp,9999,ASE,AMV WS,Inactive,United States,Public
"Alternative Construction Technologies, Inc.",1522,,,Active,United States,Public
Alternative Distributors Corp.,2051,NL,,Active,United States,Public
Alternative Energy Development Corp,3714,NBB,ADEC,Active,United States,Public
"Alternative Energy Partners, Inc",7389,NBB,AEGY,Active,United States,Public
Alternative Investment Corp,9999,NBB,AIKO,Active,United States,Public
Alternative Resources Corp.,7363,OTC,ALRC,Inactive,United States,Public
Alternaturals Inc,9999,NBB,ANAS,Active,United States,Public
Alternet Systems Inc ,7372,NBB,ALYI,Active,United States,Public
Alterola Biotech Inc.,9999,NBB,ABTI,Active,United States,Public
Alterra Healthcare Corp,8361,OTC,ATHC Q,Inactive,United States,Public
Alteryx Inc,7372,NYS,AYX,Active,United States,Public
Alteva,4813,ASE,ALTV,Inactive,United States,Public
"Altex Industries, Inc.",1311,NBB,ALTX,Active,United States,Public
Altice USA Inc,4841,NYS,ATUS,Active,United States,Public
AltiGen Communications Inc,3669,NBB,ATGN,Active,United States,Public
Altimmune Inc,2834,NMS,ALT,Active,United States,Public
"Altiris, Inc.",7372,NMS,ATRS,Inactive,United States,Public
Altitude Acquisition Corp,9999,NAS,ALTU,Active,United States,Public
Altitude International Inc,3949,NBB,ALTD,Active,United States,Public
Altiva Financial Corp.,6159,NL,,Inactive,United States,Public
"Alto Group Holdings, Inc.",1041,NL,,Active,United States,Public
Alto Ingredients Inc,2869,NAS,ALTO,Active,United States,Public
Altona Resources Inc,1382,,,Active,United States,Public
Altovida Inc,2834,NL,,Active,United States,Public
Altra Industrial Motion Corp,3569,NMS,AIMC,Inactive,United States,Public
Altria Group Inc ,2111,NYS,MO,Active,United States,Public
Altron Inc.,3672,NMS,ALRN,Inactive,United States,Public
Altus Pharmaceuticals Inc,2834,NBB,ALTU Q,Inactive,United States,Public
Altus Power Inc,9999,NYS,AMPS,Active,United States,Public
Aluf Holdings Inc,7372,NBB,AHIX,Active,United States,Public
"Alumax, Inc.",3334,NYS,AMX,Inactive,United States,Public
AlumiFuel Power Corp,2813,NBB,AFPW,Active,United States,Public
ALX Oncology Holdings Inc,2834,NMS,ALXO,Active,United States,Public
Aly Energy Services Inc (DE),7359,NL,,Active,United States,Public
Alyn Corp.,3399,OTC,ALYN Q,Inactive,United States,Public
Alysis Technologies Inc,7372,OTC,ALYS,Inactive,United States,Public
ALZA Corp.,2834,NYS,AZA,Inactive,United States,Public
Alzamend Neuro Inc,2834,NAS,ALZN,Active,United States,Public
"AM Communications, Inc.",3663,NBB,AMCM,Inactive,United States,Public
"AM Diagnostics, Inc.",2833,NBB,AMJI,Active,United States,Public
AM General Corp.,3799,,,Inactive,United States,Public
AM-CH Inc,5812,OTC,AGMX,Inactive,United States,Public
Am-Pac International Inc.,5169,NL,,Active,United States,Public
Amacore Group Inc,8082,NBB,ACGI,Active,United States,Public
"AMAG Pharmaceuticals, Inc.",2834,NMS,AMAG,Inactive,United States,Public
"Amalgamated Automotive Industries, Inc.",5013,NBB,AAUT,Inactive,United States,Public
Amalgamated Explorations Inc.,2339,,,Active,United States,Public
Amalgamated Financial Corp,6022,NMS,AMAL,Active,United States,Public
Amanasu Environment Corp,4953,NBB,AMSU,Active,United States,Public
Amanasu Techno Holdings Corp,3751,NBB,ANSU,Active,United States,Public
Amanda Company,3577,NBB,AMNA,Inactive,United States,Public
"Amarantus Bioscience Holdings, Inc",2834,NBB,AMBS,Active,United States,Public
Amarillo Mesquite Grill Inc.,5812,NBB,MESQ,Inactive,United States,Public
Amaru Inc,7389,NBB,AMRU,Active,United States,Public
Amati Communications Corp.,3577,NMS,AMTX,Inactive,United States,Public
AMAX Inc.,3334,NYS,AMX,Inactive,United States,Public
Amaya Global Holdings Corp,6282,NBB,AYAG,Active,United States,Public
Amazing Energy Oil & Gas Co,1311,NL,,Active,United States,Public
"Amazon Biotech, Inc.",2834,NBB,AMZO,Inactive,United States,Public
Amazon.com Inc,5961,NMS,AMZN,Active,United States,Public
Amazonas Florestal Ltd,'0851,NBB,AZFL,Active,United States,Public
AMB Financial Corp,6022,NBB,AMFC,Active,United States,Public
AMB Financial Services Corp,6712,,,Active,United States,Public
Ambac Assurance Corp.,6331,NL,,Active,United States,Public
"Ambac Financial Group, Inc.",6351,NYS,AMBC,Active,United States,Public
AMBANC Corp.,6021,NMS,AMBK,Inactive,United States,Public
"Ambanc Holding Co., Inc.",6035,NMS,AHCI,Inactive,United States,Public
"Ambar, Inc.",1389,NMS,AMBR,Inactive,United States,Public
Ambase Corp,6531,NBB,ABCP,Active,United States,Public
"Ambassador Apartments, Inc.",6798,NYS,AAH,Inactive,United States,Public
"Ambassador Bank of the Commonwealth (Allentown,PA)",6022,NAS,ABPA,Inactive,United States,Public
Ambassador Food Services Corp.,5812,NL,,Active,United States,Public
Ambassador General Partnership,6512,,,Active,United States,Public
Ambassadors Group Inc,8299,NBB,EPAX,Inactive,United States,Public
Ambassadors International Inc.,4729,NBB,AMIE Q,Inactive,United States,Public
Amber Resources Co.,9999,OTC,AMBE Q,Inactive,United States,Public
Amber Road Inc,7372,NYS,AMBR,Inactive,United States,Public
"Amber's Stores, Inc.",5999,OTC,ABRS,Inactive,United States,Public
AmbiCom Holdings Inc,7372,NL,,Active,United States,Public
Ambient Corp.,4813,NBB,AMBT Q,Inactive,United States,Public
Ambit Biosciences Corp,2834,NMS,AMBI,Inactive,United States,Public
Amboy Bancorporation,6712,NL,,Active,United States,Public
"Ambulatory Medical Care, Inc.",6324,NAS,AMED,Inactive,United States,Public
AMC Entertainment Holdings Inc.,7832,NYS,AMC,Active,United States,Public
AMC Entertainment Inc.(Old),7832,ASE,AEN,Inactive,United States,Public
"AMC Financial Holdings, Inc.",6162,NBB,ACFL,Active,United States,Public
AMC Networks Inc,4841,NMS,AMCX,Active,United States,Public
Amcast Industrial Corp.,3494,NBB,AICO Q,Inactive,United States,Public
AMCOL International Corp.,1459,NYS,ACO,Inactive,United States,Public
AmCOMP Inc,6331,NMS,AMCP,Inactive,United States,Public
AMCON Distributing Company,5141,ASE,DIT,Active,United States,Public
AMCORE Financial Inc.  ,6021,NBB,AMFI Q,Inactive,United States,Public
Amdahl Corp.,3571,ASE,AMH,Inactive,United States,Public
Amdura Corp.,3429,NL,,Inactive,United States,Public
Amedia Networks Inc,3577,NBB,AANI,Inactive,United States,Public
"Amedisys, Inc.",8082,NMS,AMED,Active,United States,Public
Amegy Bancorporation Inc,6021,NMS,ABNK,Inactive,United States,Public
Amelco Corp.,1731,NBB,AMLC,Active,United States,Public
Amen Properties Inc  ,6792,NBB,AMEN,Active,United States,Public
Amerac Energy Corp.,1311,OTC,AENC,Inactive,United States,Public
AmeraMex International Inc,7353,NBB,AMMX,Active,United States,Public
Amerant Bancorp Inc,6021,NYS,AMTB,Active,United States,Public
"Amerco, Inc.",7513,,,Inactive,United States,Public
Ameren Corp,4931,NYS,AEE,Active,United States,Public
Ameren Illinois Co,4931,NBB,AILL P,Active,United States,Public
AmerenEnergy Generating Co.,4911,,,Active,United States,Public
Ameresco Inc,1799,NYS,AMRC,Active,United States,Public
Amerex Group Inc,3845,,,Active,United States,Public
Amergent Hospitality Group Inc,5812,NBB,AMHG,Active,United States,Public
Ameri Metro Inc,1629,NL,,Active,United States,Public
Ameriana Bancorp,6035,NAS,ASBI,Inactive,United States,Public
Ameribanc Investors Group,6035,OTC,AINV R,Inactive,United States,Public
America First Apartment Investors Inc,6798,NMS,APRO,Inactive,United States,Public
America First Financial Fund 1987-A Limited Partnership,6035,OTC,AFFF Z,Inactive,United States,Public
America First Mortgage Servicing Co. L.P. I,6211,NL,,Active,United States,Public
America First Participating/Preferred Equity Mortgage Fund,6799,,,Inactive,United States,Public
America First Prep Fund 2 Pension Series L.P.,6799,,,Inactive,United States,Public
"America First Prep Fund 2, L.P.",6799,,,Inactive,United States,Public
America First Real Estate Investment Partners LP,6513,NMS,AFRE Z,Inactive,United States,Public
"America First REIT, Inc.",6798,ASE,AFR,Inactive,United States,Public
America Great Health,2834,NBB,AAGH,Active,United States,Public
America Greener Technologies Inc,1799,NL,,Active,United States,Public
America Online Latin America Inc  ,7379,NL,,Active,United States,Public
America Service Group Inc.,8099,NMS,ASGR,Inactive,United States,Public
America West Holdings Corp.,4512,NL,,Inactive,United States,Public
America West Resources Inc,1221,NL,,Active,United States,Public
America's Car-Mart Inc,5521,NMS,CRMT,Active,United States,Public
America's Suppliers Inc,7372,NL,,Active,United States,Public
American & Foreign Insurance Co,6331,,,Active,United States,Public
"American Access Technologies, Inc.",7372,NAS,AATK,Inactive,United States,Public
American Acquisition Opportunity Inc,9999,NAS,AMAO,Active,United States,Public
American Adjustable Rate Term Trust Inc - 1998,6726,NYS,DDJ,Inactive,United States,Public
American Adjustable Rate Term Trust Inc.-1995,6726,NYS,ADJ,Inactive,United States,Public
American Adjustable Rate Term Trust Inc.-1996,6726,NYS,BDJ,Inactive,United States,Public
American Adjustable Rate Term Trust Inc.-1997,6726,NYS,CDJ,Inactive,United States,Public
American Adjustable Rate Term Trust Inc.-1999,6726,NYS,EDJ,Inactive,United States,Public
"American Aircarriers Support, Inc.",5084,,AIRS,Inactive,United States,Public
American Airlines Group Inc,4512,NMS,AAL,Active,United States,Public
"American Airlines, Inc.",4512,,,Inactive,United States,Public
American Apparel Inc,2389,NBB,APPC Q,Inactive,United States,Public
American Asset Development Inc,9999,NBB,AADI,Inactive,United States,Public
American Asset Management Corp.,6162,NL,,Active,United States,Public
American Assets Trust Inc,6798,NYS,AAT,Active,United States,Public
American Atlantic Co.,1629,NBB,AMRL,Inactive,United States,Public
American Atlas Resources Corp.,1311,NBB,ARAR,Active,United States,Public
American Automobile Insurance Co.,6331,,,Active,United States,Public
American Axle & Manufacturing Holdings Inc,3714,NYS,AXL,Active,United States,Public
American Bancorp of Nevada,6022,,,Inactive,United States,Public
American Bancorp of New Jersey Inc,6035,NMS,ABNJ,Inactive,United States,Public
"American Bancorp, Inc (LA)",6022,NL,,Active,United States,Public
American Bancorporation (OH),6022,NMS,AMBC,Inactive,United States,Public
"American Bancorporation, Inc. (St. Paul, MN)",6021,NBB,ABMN,Active,United States,Public
American Bancshares Inc. (FL),6022,NMS,ABAN,Inactive,United States,Public
"American Bancshares of Houma, Inc.",6712,NL,,Inactive,United States,Public
American Bank Holdings Inc (DE),6712,NBB,ABKH,Inactive,United States,Public
American Bank Inc (PA),6021,NBB,AMBK,Active,United States,Public
"American Bank N.A. (St. Paul, MN)",6029,,,Active,United States,Public
American Bank Note Holographics Inc (DE),7389,OTC,ABHH,Inactive,United States,Public
"American Bank of Connecticut (Waterbury, Conn.)",6036,ASE,BKC,Inactive,United States,Public
"American Bankers Insurance Group, Inc.",6311,NYS,ABI,Inactive,United States,Public
American Banknote Corp,2754,NBB,ARBN,Inactive,United States,Public
"American Banks of Florida, Inc.",6021,NBB,ABFL A,Inactive,United States,Public
American Battery Technology Co,1099,NBB,ABML D,Active,United States,Public
American Biltrite Inc.,3089,NBB,ABLT,Active,United States,Public
American Bio Medica Corp.,3826,NBB,ABMC,Active,United States,Public
"American BioMed, Inc.",3841,OTC,ABMI Q,Inactive,United States,Public
American Broadcasting System Inc.,4832,NL,,Active,United States,Public
American Buildings Co.,3448,NMS,ABCO,Inactive,United States,Public
"American Business Bank (Los Angeles, CA)",6022,NBB,AMBZ,Active,United States,Public
American Business Corp,9999,NBB,ARBU,Active,United States,Public
American Business Financial Services Inc  ,6162,NBB,ABFI Q,Inactive,United States,Public
"American Business Products, Inc.",2761,NYS,ABP,Inactive,United States,Public
American Business Services Inc,7389,NL,,Active,United States,Public
American Campus Communities Inc,6798,NYS,ACC,Inactive,United States,Public
American Cannabis Co Inc,8742,NBB,AMMJ,Active,United States,Public
American Capital Corp,6712,NBB,ACCN P,Inactive,United States,Public
American Capital Holdings Inc  ,6712,NL,,Active,United States,Public
American Capital Ltd,6726,NMS,ACAS,Inactive,United States,Public
"American Capital Senior Floating, Ltd",6726,NBB,ACSF,Inactive,United States,Public
American Capital Tax-Exempt Trust - Insured Municipal Portfolio,6722,NL,ACTI X,Inactive,United States,Public
American CareSource Holdings Inc,8099,NBB,GNOW,Active,United States,Public
"American Cascade Energy, Inc.",1382,NL,,Active,United States,Public
"American Casualty Co. of Reading, PA",6331,,,Active,United States,Public
American CDI Corp.,3841,OTC,ACDI,Inactive,United States,Public
American Church Mortgage Co.  ,6162,NBB,ACMC,Active,United States,Public
American City Business Journals Inc.,2711,NAS,AMBJ P,Inactive,United States,Public
American Classic Voyages Co.,4489,NBB,AMCV Q,Inactive,United States,Public
American Clean Resources Group Inc,1041,NBB,ACRG,Active,United States,Public
American Coastal Insurance Corp,6331,NAS,ACIC,Active,United States,Public
"American Coin Merchandising, Inc.",7993,NAS,AMCN,Inactive,United States,Public
American Commerce Solutions Inc ,5599,NBB,AACS,Active,United States,Public
American Commercial Lines Inc.,4449,NMS,ACLI,Inactive,United States,Public
"American Communications & Television, Inc.",4833,NL,,Active,United States,Public
American Community Bancorp Inc,6211,OTC,ACBP,Inactive,United States,Public
American Community Bancshares Inc.,6022,NAS,ACBA,Inactive,United States,Public
American Community Newspapers Inc,9999,NBB,ACNI,Active,United States,Public
American Community Properties Trust,6552,ASE,APO,Inactive,United States,Public
"American Complex Care, Inc.",8082,NL,,Active,United States,Public
American Confectionery Corp.,2064,NBB,ACFY,Active,United States,Public
American Consolidated Growth Corp.,7363,,,Active,United States,Public
American Consolidated Management Group Inc,5499,,,Active,United States,Public
American Consumer Products Inc.,2381,NMS,ACPI,Inactive,United States,Public
American Consumers Inc,5411,NL,,Active,United States,Public
American Cordillera Mining Corp,1041,NL,,Active,United States,Public
"American Country Holdings, Inc.",6411,NAS,ACHI W,Inactive,United States,Public
American CryoStem Corp,8099,NBB,CRYO,Active,United States,Public
"American Cytogenetics, Inc.",8071,OTC,ACYG,Inactive,United States,Public
American Defense Systems Inc,3799,NBB,ADFS,Active,United States,Public
"American Dental Partners, Inc.",8099,NMS,ADPI,Inactive,United States,Public
American DG Energy Inc,4931,ASE,ADGE,Inactive,United States,Public
"American Disposal Services, Inc.",4953,NMS,ADSI,Inactive,United States,Public
American Diversified Holdings Corp (NV),5122,NBB,ADHC,Active,United States,Public
"American Dream Entertainment, Inc.",6552,NBB,AMDM,Active,United States,Public
American Eagle Energy Corp,1311,NBB,AMZG Q,Inactive,United States,Public
American Eagle Energy Inc.,1382,OTC,AMZG,Inactive,United States,Public
"American Eagle Outfitters, Inc.",5651,NYS,AEO,Active,United States,Public
American Eagle Resources Inc.,1041,NBB,AEIR,Inactive,United States,Public
"American Economy Insurance Co. (Indianapolis, Ind.)",6331,,,Active,United States,Public
American Education Center Inc,8299,NBB,AMCT,Active,United States,Public
American Education Corp.,5045,NBB,AECC,Inactive,United States,Public
"American Educational Products, Inc.",2741,NAS,AMEP,Inactive,United States,Public
American Electric Power Co Inc,4911,NMS,AEP,Active,United States,Public
"American Electronic Components, Inc.",3625,,,Inactive,United States,Public
American Energy Development Corp,1311,NBB,AEDC,Active,United States,Public
American Energy Group Ltd.,1311,NL,,Active,United States,Public
American Energy Partners Inc (CO),4941,NBB,AEPT,Active,United States,Public
American Energy Production Inc ,1311,NBB,AENP,Inactive,United States,Public
American Enterprise Development Corp,7389,,,Active,United States,Public
"American Equine Products, Inc.",6794,NBB,AMEQ,Active,United States,Public
American Equity Investment Life Holding Co,6311,NYS,AEL,Active,United States,Public
American Exploration Co.,1311,ASE,AX,Inactive,United States,Public
American Express Co. ,6153,NYS,AXP,Active,United States,Public
American Express Credit Corp.  ,6153,,,Active,United States,Public
American Family Life Insurance Co.,6311,,,Active,United States,Public
American Family Mutual Insurance Co. (Madison),6331,,,Inactive,United States,Public
American Farmland Company,6798,ASE,AFCO,Inactive,United States,Public
"American Federal Bank, FSB",6035,NMS,AMFB,Inactive,United States,Public
American Fiber Green Products Inc,2655,NBB,AFBG,Active,United States,Public
American Film Technologies Inc,7819,NL,,Inactive,United States,Public
American Filtrona Corp.,3081,NMS,AFIL,Inactive,United States,Public
American Financial Corp.,6331,OTC,AFOH K,Inactive,United States,Public
"American Financial Enterprises, Inc.",6331,PSE,AFE,Inactive,United States,Public
American Financial Group Inc,6331,NYS,AFG,Active,United States,Public
American Financial Holdings Inc,6036,NMS,AMFH,Inactive,United States,Public
American Financial Realty Trust,6798,NYS,AFR,Inactive,United States,Public
"American Fire & Casualty Co. (Hamilton, OH)",6331,,,Active,United States,Public
American First Financial Inc,6162,NL,,Active,United States,Public
American Freightways Corp.,4213,NMS,AFWY,Inactive,United States,Public
American Fuel Corp.,6792,NBB,COAL,Active,United States,Public
American General Corp.,6311,NYS,AGC,Inactive,United States,Public
American General Life & Accident Ins. Co.,6311,,,Active,United States,Public
"American General Life Insurance Co. (Houston, Tex.)",6311,,,Active,United States,Public
American Government Income Fund Inc.,6726,NYS,AGF,Inactive,United States,Public
"American Government Income Portfolio, Inc.",6726,NYS,AAF,Inactive,United States,Public
American Government Term Trust Inc.,6726,,,Inactive,United States,Public
American Graphite Technologies Inc,1499,NBB,AGIN,Active,United States,Public
"American Green Group, Inc.",6211,NBB,AMNE,Active,United States,Public
American Green Inc,5912,NBB,ERBB,Active,United States,Public
American Greetings Corp.,2771,NYS,AM,Inactive,United States,Public
"American Health Properties, Inc.",6798,NYS,AHE,Inactive,United States,Public
American Health Providers Corp,1044,NL,,Active,United States,Public
American Health Services Corp.,8071,OTC,AHTS,Inactive,United States,Public
American Healthcare REIT Inc,6798,NBB,AHTR,Active,United States,Public
"American HealthChoice, Inc.",8011,,,Active,United States,Public
American Heritage International Inc,2111,NBB,AHII,Active,United States,Public
"American Heritage Life Insurance Co. (Jacksonville, Fla.)",6311,,,Active,United States,Public
American Heritage Life Investment Corp.,6311,NBB,AHGL P,Inactive,United States,Public
American High-Income Trust,6722,NL,CITE X,Active,United States,Public
American Holdings Inc (DE),1081,,,Active,United States,Public
American Home Assurance Co.,6331,,,Active,United States,Public
American Home Mortgage Holdings Inc,6162,NMS,AHMH,Inactive,United States,Public
American Home Mortgage Investment Corp,6798,NBB,AHMI Q,Inactive,United States,Public
American Home Shield Corp.,7389,,,Active,United States,Public
American HomePatient Inc.,8082,OTC,AHOM,Inactive,United States,Public
American Homes 4 Rent,6798,NYS,AMH,Active,United States,Public
American Homestar Corp.,2452,OTC,HSTR Q,Inactive,United States,Public
American Hospital Management Corp.,8062,,AHSP,Inactive,United States,Public
American Household Inc,3634,,,Active,United States,Public
"American Income Holding, Inc.",6719,NYS,AIH,Inactive,United States,Public
American Indemnity Financial Corp.,6331,NAS,AIFC,Inactive,United States,Public
American Independence Corp  ,6321,NAS,AMIC,Inactive,United States,Public
American Industrial Properties REIT,6798,NYS,IND,Inactive,United States,Public
